"","Country Name","Country Code","Series Name","Series Code","Year","Value"
"115","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1988 [YR1988]",71.549
"116","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1989 [YR1989]",69.761
"117","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1990 [YR1990]",71.927
"118","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1991 [YR1991]",71.751
"119","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1992 [YR1992]",72.53
"120","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1993 [YR1993]",73.052
"121","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1994 [YR1994]",72.882
"122","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1995 [YR1995]",72.26
"123","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1996 [YR1996]",72.261
"124","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1997 [YR1997]",72.136
"125","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1998 [YR1998]",72.081
"126","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","1999 [YR1999]",72.618
"127","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2000 [YR2000]",70.355
"128","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2001 [YR2001]",70.787
"129","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2002 [YR2002]",71.117
"130","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2003 [YR2003]",71.373
"131","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2004 [YR2004]",67.091
"132","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2005 [YR2005]",72.118
"133","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2006 [YR2006]",71.969
"134","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2007 [YR2007]",72.049
"135","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2008 [YR2008]",71.729
"136","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2009 [YR2009]",69.187
"137","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2010 [YR2010]",73.215
"138","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2011 [YR2011]",73.38
"139","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2012 [YR2012]",73.906
"140","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2013 [YR2013]",74.239
"141","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2014 [YR2014]",74.651
"142","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2015 [YR2015]",74.927
"143","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2016 [YR2016]",75.331
"144","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2017 [YR2017]",75.403
"145","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2018 [YR2018]",75.748
"146","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2019 [YR2019]",76.008
"147","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2020 [YR2020]",76.393
"148","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2021 [YR2021]",76.399
"149","Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","2022 [YR2022]",76.61
"150","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1974 [YR1974]",13305693
"151","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1975 [YR1975]",13548984
"152","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1976 [YR1976]",13796770
"153","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1977 [YR1977]",14049371
"154","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1978 [YR1978]",14310128
"155","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1979 [YR1979]",14579614
"156","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1980 [YR1980]",14847974
"157","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1981 [YR1981]",15099414
"158","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1982 [YR1982]",15286567
"159","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1983 [YR1983]",15388794
"160","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1984 [YR1984]",15441860
"161","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1985 [YR1985]",15544154
"162","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1986 [YR1986]",15731256
"163","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1987 [YR1987]",15916576
"164","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1988 [YR1988]",16078621
"165","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1989 [YR1989]",16248557
"166","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1990 [YR1990]",16352458
"167","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1991 [YR1991]",16475354
"168","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1992 [YR1992]",16739284
"169","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1993 [YR1993]",17025918
"170","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1994 [YR1994]",17275773
"171","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1995 [YR1995]",17564068
"172","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1996 [YR1996]",17905018
"173","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1997 [YR1997]",18248200
"174","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1998 [YR1998]",18596003
"175","Sri Lanka","LKA","Population, total","SP.POP.TOTL","1999 [YR1999]",18944731
"176","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2000 [YR2000]",19293054
"177","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2001 [YR2001]",19600362
"178","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2002 [YR2002]",19805752
"179","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2003 [YR2003]",19951521
"180","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2004 [YR2004]",20087605
"181","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2005 [YR2005]",20216524
"182","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2006 [YR2006]",20352411
"183","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2007 [YR2007]",20492545
"184","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2008 [YR2008]",20629378
"185","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2009 [YR2009]",20756435
"186","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2010 [YR2010]",20879089
"187","Sri Lanka","LKA","Population, total","SP.POP.TOTL","2011 [YR2011]",21009048
